sku_id,scraped_on,price,stock,image_url,article_type,mean_price
0,2018-12-09,38.0,47,https://images.topshop.com/i/TopShop/TS44J82EBLK_M_1.jpg?$Large$,Jeans,8.598567273646992
1,2018-12-09,36.0,70,https://images.topshop.com/i/TopShop/TS26A28FBLK_M_1.jpg?$Large$,Jeans,6.598567273646992
2,2018-12-09,36.0,102,https://images.topshop.com/i/TopShop/TS44L37GBLK_M_1.jpg?$Large$,Jeans,6.598567273646992
3,2018-12-09,6.0,21,https://images.topshop.com/i/TopShop/TS44T15HWHT_M_1.jpg?$Large$,Tops,-23.401432726353008
4,2018-12-09,7.0,60,https://images.topshop.com/i/TopShop/TS27D04HWHT_M_1.jpg?$Large$,Skirts,-22.401432726353008
5,2018-12-09,38.0,47,https://images.topshop.com/i/TopShop/TS44J18IBLK_M_1.jpg?$Large$,Jeans,8.598567273646992
6,2018-12-09,12.0,44,https://images.topshop.com/i/TopShop/TS16H05IBLK_M_1.jpg?$Large$,Trousers & Leggings,-17.401432726353008
7,2018-12-09,40.0,231,https://images.topshop.com/i/TopShop/TS02Y17IBLK_M_1.jpg?$Large$,Jeans,10.598567273646992
8,2018-12-09,20.0,4,https://images.topshop.com/i/TopShop/TS16P10IBLK_M_1.jpg?$Large$,Trousers & Leggings,-9.401432726353008
9,2018-12-09,42.0,197,https://images.topshop.com/i/TopShop/TS02Y42IBLK_M_1.jpg?$Large$,Jeans,12.598567273646992
10,2018-12-09,45.0,177,https://images.topshop.com/i/TopShop/TS02O02IBLK_M_1.jpg?$Large$,Jeans,15.598567273646992
11,2018-12-09,18.0,70,https://images.topshop.com/i/TopShop/TS16T02IBLK_M_1.jpg?$Large$,Trousers & Leggings,-11.401432726353008
12,2018-12-09,40.0,1,https://images.topshop.com/i/TopShop/TS02L31IBLK_M_1.jpg?$Large$,Jeans,10.598567273646992
13,2018-12-09,38.0,194,https://images.topshop.com/i/TopShop/TS02J52IBLK_M_1.jpg?$Large$,Jeans,8.598567273646992
14,2018-12-09,38.0,31,https://images.topshop.com/i/TopShop/TS26A86IBLK_M_1.jpg?$Large$,Jeans,8.598567273646992
15,2018-12-09,24.0,1,https://images.topshop.com/i/TopShop/TS32P19IRED_M_1.jpg?$Large$,Shoes,-5.401432726353008
16,2018-12-09,3.0,30,https://images.topshop.com/i/TopShop/TS44U23IIVR_M_1.jpg?$Large$,Lingerie,-26.401432726353008
17,2018-12-09,12.0,20,https://images.topshop.com/i/TopShop/TS16H04JBLK_M_1.jpg?$Large$,Trousers & Leggings,-17.401432726353008
18,2018-12-09,24.0,44,https://images.topshop.com/i/TopShop/TS27D03JBRN_M_1.jpg?$Large$,Skirts,-5.401432726353008
19,2018-12-09,5.0,60,https://images.topshop.com/i/TopShop/TS43T01IBLK_F_1.jpg?$Large$,Lingerie,-24.401432726353008
20,2018-12-09,1.0,1,https://images.topshop.com/i/TopShop/TS61P32INAV_F_1.jpg?$Large$,Gifts & Novelty,-28.401432726353008
21,2018-12-09,1.0,1,https://images.topshop.com/i/TopShop/TS61J73IBRN_F_1.jpg?$Large$,Jewellery,-28.401432726353008
22,2018-12-09,1.0,2,https://images.topshop.com/i/TopShop/TS61T80IMUL_F_1.jpg?$Large$,Jewellery,-28.401432726353008
23,2018-12-09,10.0,1,https://images.topshop.com/i/TopShop/TS19U02JBLK_M_1.jpg?$Large$,Umbrellas,-19.401432726353008
24,2018-12-09,8.0,10,https://images.topshop.com/i/TopShop/TS22S07JTOR_M_1.jpg?$Large$,Sunglasses,-21.401432726353008
25,2018-12-09,40.0,33,https://images.topshop.com/i/TopShop/TS26A95JMDT_M_1.jpg?$Large$,Jeans,10.598567273646992
26,2018-12-09,38.0,219,https://images.topshop.com/i/TopShop/TS02L04IBLK_M_1.jpg?$Large$,Jeans,8.598567273646992
27,2018-12-09,45.0,56,https://images.topshop.com/i/TopShop/TS26I33JBLK_M_1.jpg?$Large$,Jeans,15.598567273646992
28,2018-12-09,17.92,52,https://images.topshop.com/i/TopShop/TS12S13KBLK_M_1.jpg?$Large$,Trousers & Leggings,-11.481432726353006
29,2018-12-09,15.6,1,https://images.topshop.com/i/TopShop/TS62V22JWHT_M_1.jpg?$Large$,Dresses,-13.801432726353008
30,2018-12-09,40.0,9,https://images.topshop.com/i/TopShop/TS02M03JBLK_M_1.jpg?$Large$,Jeans,10.598567273646992
31,2018-12-09,12.0,60,https://images.topshop.com/i/TopShop/TS16H18JBLK_M_1.jpg?$Large$,Trousers & Leggings,-17.401432726353008
32,2018-12-09,42.99,1,https://images.topshop.com/i/TopShop/TS63F04JBLU_F_1.jpg?$Large$,Shoes,13.588567273646994
33,2018-12-09,74.99,2,https://images.topshop.com/i/TopShop/TS63F11JWHT_M_1.jpg?$Large$,Shoes,45.58856727364699
34,2018-12-09,67.99,6,https://images.topshop.com/i/TopShop/TS63F13JWHT_M_1.jpg?$Large$,Shoes,38.58856727364699
35,2018-12-09,47.99,6,https://images.topshop.com/i/TopShop/TS63F21JBLK_M_1.jpg?$Large$,Shoes,18.588567273646994
36,2018-12-09,47.99,2,https://images.topshop.com/i/TopShop/TS63F17JWHT_M_1.jpg?$Large$,Shoes,18.588567273646994
37,2018-12-09,47.99,2,https://images.topshop.com/i/TopShop/TS63F18JWHT_M_1.jpg?$Large$,Shoes,18.588567273646994
38,2018-12-09,47.99,6,https://images.topshop.com/i/TopShop/TS63F10JBLU_M_1.jpg?$Large$,Shoes,18.588567273646994
39,2018-12-09,44.99,20,https://images.topshop.com/i/TopShop/TS63F24JBLK_M_1.jpg?$Large$,Shoes,15.588567273646994
40,2018-12-09,44.99,10,https://images.topshop.com/i/TopShop/TS63F25JBLK_M_1.jpg?$Large$,Shoes,15.588567273646994
41,2018-12-09,44.99,11,https://images.topshop.com/i/TopShop/TS63F19JWHT_M_1.jpg?$Large$,Shoes,15.588567273646994
42,2018-12-09,44.99,3,https://images.topshop.com/i/TopShop/TS63F20JWHT_M_1.jpg?$Large$,Shoes,15.588567273646994
43,2018-12-09,44.99,3,https://images.topshop.com/i/TopShop/TS63F11JBLU_M_1.jpg?$Large$,Shoes,15.588567273646994
44,2018-12-09,54.99,3,https://images.topshop.com/i/TopShop/TS63F28JBLK_M_1.jpg?$Large$,Shoes,25.588567273646994
45,2018-12-09,54.99,1,https://images.topshop.com/i/TopShop/TS63F22JWHT_M_1.jpg?$Large$,Shoes,25.588567273646994
46,2018-12-09,44.99,3,https://images.topshop.com/i/TopShop/TS63F33JBLK_F_1.jpg?$Large$,Shoes,15.588567273646994
47,2018-12-09,44.99,2,https://images.topshop.com/i/TopShop/TS63F26JWHT_M_1.jpg?$Large$,Shoes,15.588567273646994
48,2018-12-09,7.0,20,https://images.topshop.com/i/TopShop/TS27N19JMON_M_1.jpg?$Large$,Skirts,-22.401432726353008
49,2018-12-09,36.0,225,https://images.topshop.com/i/TopShop/TS02J13JBLK_M_1.jpg?$Large$,Jeans,6.598567273646992
50,2018-12-09,35.0,1,https://images.topshop.com/i/TopShop/TS62E19JWHT_M_1.jpg?$Large$,Dresses,5.598567273646992
51,2018-12-09,5.0,30,https://images.topshop.com/i/TopShop/TS04M06JMNT_M_1.jpg?$Large$,Tops,-24.401432726353008
52,2018-12-09,2.0,1,https://images.topshop.com/i/TopShop/TS63Q79JMUL_F_1.jpg?$Large$,Gifts & Novelty,-27.401432726353008
53,2018-12-09,22.0,4,https://images.topshop.com/i/TopShop/TS29U02JBLK_M_1.jpg?$Large$,Bra Tops,-7.401432726353008
